POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Rating,100+0.5*50,4s+6s,runs/max,avg/max,sr/max,hs/max,100+0.5*50/max,4s+6s/max
1,Virat Kohli,8094,254,246,38,113,38.91,6131,132.02,8,56,711,276,9,36,987,1,0.797499488,0.74650834,0.875968992,1,1
2,Rohit Sharma,6649,260,255,29,109,29.42,5074,131.04,2,43,601,281,7.4,23.5,882,0.821472696,0.602992416,0.740966921,0.84496124,0.652777778,0.893617021
3,MS Dhoni,5289,267,232,97,84,39.18,3841,137.7,0,24,367,255,6.6,12,622,0.653446998,0.803033408,0.778625954,0.651162791,0.333333333,0.630192503
4,Ajinkya Rahane,4727,188,174,17,105,30.11,3814,123.94,2,31,486,109,6.3,17.5,595,0.584012849,0.617134659,0.700819904,0.813953488,0.486111111,0.602836879
5,KL Rahul,4698,133,124,20,132,45.17,3484,134.85,4,37,402,188,7.5,22.5,590,0.580429948,0.925804468,0.762510602,1.023255814,0.625,0.597771023
6,Faf du Plessis,4650,147,140,11,96,36.05,3397,136.89,0,38,427,171,6.6,19,598,0.574499629,0.738880918,0.774045802,0.744186047,0.527777778,0.605876393
7,Sanju Samson,4518,171,166,19,119,30.73,3244,139.27,3,26,362,211,6.4,16,573,0.558191253,0.629842181,0.787503534,0.92248062,0.444444444,0.580547112
8,Manish Pandey,3869,172,160,27,114,29.09,3193,121.17,1,22,337,111,5.6,12,448,0.478008401,0.596228735,0.685156913,0.88372093,0.333333333,0.453900709
9,Suryakumar Yadav,3698,153,137,24,103,32.73,2536,145.82,2,24,391,137,6,14,528,0.456881641,0.670834187,0.824540571,0.798449612,0.388888889,0.534954407
10,Jos Buttler,3675,109,108,12,124,38.28,2485,147.89,7,20,364,164,6.6,17,528,0.45404003,0.784587006,0.836245406,0.96124031,0.472222222,0.534954407
11,Rishabh Pant,3299,113,112,17,128,34.73,2226,148.2,1,18,296,155,6,10,451,0.407585866,0.711826194,0.837998304,0.992248062,0.277777778,0.456940223
12,Shubman Gill,3287,105,102,15,129,37.78,2411,136.33,4,20,316,99,6.2,14,415,0.406103286,0.774339004,0.770879276,1,0.388888889,0.420466059
13,Quinton de Kock,3259,110,110,7,140,31.64,2421,134.61,2,24,325,129,5.9,14,454,0.402643934,0.648493544,0.76115352,1.085271318,0.388888889,0.459979737
14,Shreyas Iyer,3224,117,116,19,97,33.24,2495,129.22,0,22,276,122,5.5,11,398,0.398319743,0.681287149,0.730675714,0.751937984,0.305555556,0.403242148
15,David Miller,2964,132,125,45,101,37.05,2126,139.42,1,13,210,136,5.5,7.5,346,0.366197183,0.759376922,0.78835171,0.782945736,0.208333333,0.350557244
16,Ishan Kishan,2752,108,102,7,106,28.97,1999,137.67,1,16,266,125,5.1,9,391,0.340004942,0.593769215,0.778456319,0.821705426,0.25,0.396149949
17,Nitish Rana,2736,110,104,9,87,28.8,2005,136.46,0,19,246,137,5,9.5,383,0.338028169,0.590284894,0.771614362,0.674418605,0.263888889,0.38804458
18,Mayank Agarwal,2661,127,121,4,106,22.74,2000,133.05,1,13,263,98,4.7,7.5,361,0.328762046,0.466079115,0.752332485,0.821705426,0.208333333,0.365754813
