POS,Player,Unnamed: 2,Wkts,Mat,Inns,OV,Runs,Avg,Econ,SR,4W,5W,Rating,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,4w+2*5w,wkts/max(wkts),min(avg)/avg,min(econ)/ecn,min(sr)/sr,4w+2*5W/max('')
1,Yuzvendra Chahal,,205,161,160,588,4636,22.61,7.86,17.26,6,1,8.7,,,,,,,8,1,0.763379036,0.834605598,0.750869061,0.888888889
2,Bhuvneshwar Kumar,,182,177,177,653,4949,27.19,7.56,21.58,2,2,7.5,,,,,,,6,0.887804878,0.634792203,0.867724868,0.60055607,0.666666667
3,Jasprit Bumrah,,165,133,133,506,3714,22.51,7.3,18.5,2,2,7.8,,,,,,,6,0.804878049,0.766770324,0.898630137,0.700540541,0.666666667
4,Umesh Yadav,,144,148,147,508,4296,29.83,8.45,21.18,3,0,6.2,,,,,,,3,0.702439024,0.578612135,0.776331361,0.611898017,0.333333333
5,Sandeep Sharma,,139,130,129,479,3813,27.43,7.94,20.73,2,1,6.5,,,,,,,4,0.67804878,0.629238061,0.826196474,0.625180897,0.444444444
6,Harshal Patel,,138,108,106,368,3228,23.39,8.74,16.05,2,1,6.9,,,,,,,4,0.673170732,0.737922189,0.750572082,0.807476636,0.444444444
7,Mohit Sharma,,133,114,113,380,3323,24.98,8.69,17.26,3,1,6.8,,,,,,,5,0.648780488,0.690952762,0.754890679,0.750869061,0.555555556
8,Mohammad Shami,,129,113,113,412,3513,27.23,8.5,19.22,2,0,6,,,,,,,2,0.629268293,0.633859714,0.771764706,0.674297607,0.222222222
9,Trent Boult,,123,107,106,399,3314,26.94,8.27,19.54,1,0,5.8,,,,,,,1,0.6,0.640682999,0.793228537,0.663254862,0.111111111
10,Kagiso Rabada,,119,82,82,310,2653,22.29,8.53,15.68,6,0,7.1,,,,,,,6,0.580487805,0.774338268,0.76905041,0.826530612,0.666666667
11,Shardul Thakur,,100,97,94,315,2922,29.22,9.22,19.02,2,0,5.4,,,,,,,2,0.487804878,0.590691307,0.711496746,0.681388013,0.222222222
12,Jaydev Unadkat,,99,105,104,354,3189,32.21,8.98,21.53,0,2,5.5,,,,,,,4,0.482926829,0.535858429,0.730512249,0.601950766,0.444444444
13,Mohammed Siraj,,95,95,95,334,2911,30.64,8.71,21.12,2,0,5.2,,,,,,,2,0.463414634,0.563315927,0.75315729,0.613636364,0.222222222
14,Ishant Sharma,,93,111,111,387,3191,34.31,8.23,25.02,0,1,5,,,,,,,2,0.453658537,0.503060332,0.79708384,0.517985612,0.222222222
15,Kuldeep Yadav,,92,86,84,298,2432,26.43,8.13,19.5,4,0,5.9,,,,,,,4,0.448780488,0.653045781,0.806888069,0.664615385,0.444444444
16,Varun Chakaravarthy,,86,74,73,275,2074,24.12,7.52,19.23,1,1,5.9,,,,,,,3,0.419512195,0.715588723,0.872340426,0.673946958,0.333333333
17,Deepak Chahar,,81,84,84,285,2297,28.36,8.03,21.2,2,0,5.2,,,,,,,2,0.395121951,0.608603667,0.816936488,0.611320755,0.222222222
18,Khaleel Ahmed,,80,60,60,224,1976,24.7,8.8,16.85,0,0,5.2,,,,,,,0,0.390243902,0.698785425,0.745454545,0.769139466,0
19,Arshdeep Singh,,78,66,66,230,2088,26.77,9.03,17.79,2,1,5.7,,,,,,,4,0.380487805,0.644751588,0.726467331,0.728499157,0.444444444
20,Karn Sharma,,76,84,82,247,2087,27.46,8.38,19.67,2,0,5.2,,,,,,,2,0.370731707,0.628550619,0.782816229,0.658871378,0.222222222
21,Rahul Chahar,,75,78,77,276,2141,28.55,7.72,22.19,1,0,5,,,,,,,1,0.365853659,0.604553415,0.849740933,0.584046868,0.111111111
22,Avesh Khan,,75,64,63,225,2019,26.92,8.91,18.12,1,0,5.1,,,,,,,1,0.365853659,0.64115899,0.736251403,0.715231788,0.111111111
23,T Natarajan,,67,61,61,222,1969,29.39,8.84,19.96,1,0,4.8,,,,,,,1,0.326829268,0.587274583,0.742081448,0.649298597,0.111111111
24,Ravi Bishnoi,,66,68,67,241,1923,29.14,7.94,22.02,0,0,4.6,,,,,,,0,0.32195122,0.592312972,0.826196474,0.588555858,0
25,Pat Cummins,,65,61,61,228,2039,31.37,8.91,21.12,1,0,4.6,,,,,,,1,0.317073171,0.550207204,0.736251403,0.613636364,0.111111111
26,Mustafizur Rahman,,61,57,57,215,1762,28.89,8.14,21.28,1,0,4.7,,,,,,,1,0.297560976,0.59743856,0.805896806,0.609022556,0.111111111
27,Anrich Nortje,,60,46,46,175,1574,26.23,8.96,17.57,0,0,4.8,,,,,,,0,0.292682927,0.658025162,0.732142857,0.737620945,0
28,Mitchell Starc,,59,43,41,144,1214,20.58,8.31,14.86,2,1,6.2,,,,,,,4,0.287804878,0.838678328,0.789410349,0.872139973,0.444444444
